cpu_t0,memory_t0,disk_t0,temperature_t0,errors_t0,response_time_t0,network_t0,uptime_t0,processes_t0,threads_t0,cpu_t1,memory_t1,disk_t1,temperature_t1,errors_t1,response_time_t1,network_t1,uptime_t1,processes_t1,threads_t1,cpu_t2,memory_t2,disk_t2,temperature_t2,errors_t2,response_time_t2,network_t2,uptime_t2,processes_t2,threads_t2,cpu_t3,memory_t3,disk_t3,temperature_t3,errors_t3,response_time_t3,network_t3,uptime_t3,processes_t3,threads_t3,cpu_t4,memory_t4,disk_t4,temperature_t4,errors_t4,response_time_t4,network_t4,uptime_t4,processes_t4,threads_t4,cpu_t5,memory_t5,disk_t5,temperature_t5,errors_t5,response_time_t5,network_t5,uptime_t5,processes_t5,threads_t5,cpu_t6,memory_t6,disk_t6,temperature_t6,errors_t6,response_time_t6,network_t6,uptime_t6,processes_t6,threads_t6,cpu_t7,memory_t7,disk_t7,temperature_t7,errors_t7,response_time_t7,network_t7,uptime_t7,processes_t7,threads_t7,cpu_t8,memory_t8,disk_t8,temperature_t8,errors_t8,response_time_t8,network_t8,uptime_t8,processes_t8,threads_t8,cpu_t9,memory_t9,disk_t9,temperature_t9,errors_t9,response_time_t9,network_t9,uptime_t9,processes_t9,threads_t9,label
26.42,53.1,43.68,47.66,-0.45,94.25,999.54,195.99,60.82,120.48,28.3,50.29,40.87,45.78,-0.42,102.0,997.71,200.98,59.74,119.08,29.16,49.53,42.23,46.71,-1.67,97.29,1001.67,204.21,58.98,116.7,33.64,50.64,41.11,40.11,-0.24,100.36,1002.87,201.58,59.31,118.85,29.79,47.58,39.98,44.19,-1.68,96.53,999.19,200.29,59.52,117.89,28.13,52.45,40.9,43.97,-0.18,102.49,1000.61,198.05,60.24,121.06,27.83,51.52,39.67,42.25,0.07,101.56,997.97,201.11,64.43,122.88,27.01,50.5,38.78,43.6,3.19,101.14,999.24,197.82,59.37,122.6,32.31,47.54,42.86,43.07,-0.54,97.17,1003.28,198.74,59.08,120.64,27.64,51.68,40.99,44.78,-5.03,97.35,1002.16,199.87,60.49,121.14,0
28.62,48.81,40.46,46.3,-2.29,94.24,998.98,199.78,57.73,123.99,28.62,49.33,38.02,43.34,-0.83,97.97,997.47,196.93,57.97,122.38,29.56,49.95,39.56,43.21,-0.3,100.95,999.44,200.09,59.07,119.16,32.52,50.03,42.14,46.16,5.39,100.67,999.7,199.37,58.03,122.35,27.72,49.72,38.85,47.99,-0.68,98.0,999.47,201.54,57.88,121.42,32.5,47.82,40.71,43.98,1.68,98.51,1001.84,201.11,62.33,118.89,30.17,48.37,43.16,43.22,0.67,98.05,999.09,200.06,60.48,122.02,28.64,47.38,39.08,46.1,4.77,98.51,1001.45,198.99,60.29,118.9,27.9,49.47,41.1,46.03,-0.25,96.41,1000.84,204.99,62.75,117.54,29.48,48.91,40.83,42.33,-2.22,99.52,1001.81,201.85,61.26,123.7,0
30.18,47.9,40.61,46.56,-2.1,96.23,999.87,201.44,58.9,118.88,29.43,50.67,42.37,44.19,5.53,99.45,1003.36,197.81,59.3,119.39,31.1,51.78,37.58,46.0,-0.28,97.29,1001.72,201.6,59.79,117.68,31.03,48.27,40.36,43.35,-0.94,102.41,998.27,201.92,60.35,124.3,33.81,50.49,40.39,47.11,-1.72,97.48,999.9,198.5,62.06,120.43,28.87,50.91,39.28,42.28,0.29,99.24,1000.65,199.94,62.29,123.04,28.93,50.64,39.39,46.12,1.12,99.52,1001.63,200.27,60.34,120.1,29.0,49.83,38.91,46.04,-0.88,98.62,998.0,200.51,59.82,122.7,30.33,47.17,40.94,46.04,0.36,100.01,999.23,200.18,59.13,118.87,29.08,50.22,36.75,47.13,-0.88,97.88,1000.03,199.5,58.26,121.2,0
30.07,51.83,38.74,43.19,-0.44,99.05,997.02,198.77,59.5,118.37,28.2,51.12,43.56,42.21,-2.96,99.12,1001.83,194.54,59.67,117.17,28.13,49.99,42.04,44.09,-1.56,96.38,1001.35,201.85,60.92,118.13,33.95,52.37,43.09,40.25,0.79,100.76,998.69,199.49,56.71,119.61,27.76,52.11,34.19,48.99,-1.88,101.36,999.43,200.78,60.6,120.36,30.02,47.71,37.98,44.39,-1.72,98.91,998.79,198.34,58.03,120.33,30.31,49.2,42.01,46.33,1.32,98.78,1001.45,198.81,59.45,121.03,32.05,49.46,42.35,45.86,-2.93,97.42,997.96,197.67,60.18,122.14,30.24,52.66,42.01,43.85,-1.54,97.83,999.13,200.1,59.64,120.12,26.4,51.23,40.26,40.45,1.57,99.18,998.87,198.99,57.38,122.38,0
28.75,54.22,42.7,44.25,-1.36,100.13,999.54,201.62,61.97,121.08,30.09,51.75,38.57,42.46,2.14,97.87,998.04,202.15,65.57,118.95,26.65,50.2,36.65,45.57,0.59,99.73,998.68,198.37,58.79,118.66,29.06,53.33,39.56,47.29,2.32,97.27,999.84,202.07,62.66,119.12,29.56,48.11,37.86,42.38,0.23,99.3,997.5,200.46,60.47,119.91,32.07,47.87,40.03,44.41,-2.83,98.76,1000.02,194.87,60.37,121.23,30.82,50.21,41.98,43.71,0.89,98.86,1002.94,196.88,59.17,117.34,30.33,52.99,40.44,43.31,1.75,100.2,999.87,198.79,59.71,120.18,30.61,52.57,43.07,46.79,1.44,101.53,995.82,202.95,59.37,122.19,31.57,52.72,39.23,44.91,0.22,99.11,999.49,200.75,58.81,118.73,0
29.11,50.36,41.23,40.98,-1.02,98.61,996.89,198.8,58.98,119.48,29.49,50.05,40.12,47.49,0.49,101.95,1004.72,199.21,65.85,121.27,27.51,47.93,38.66,43.57,1.3,99.04,999.04,199.08,56.83,118.78,27.41,54.28,41.0,44.41,0.71,97.1,1000.76,202.23,60.31,120.47,32.38,50.69,41.55,44.99,-1.38,100.62,997.87,198.12,62.27,119.59,30.35,49.23,39.02,44.21,0.41,99.77,999.01,200.11,59.98,121.71,31.48,50.02,39.98,45.31,-2.11,100.78,996.42,198.88,60.36,114.83,31.86,47.85,38.14,45.28,0.85,102.01,1000.22,200.21,56.83,120.63,28.83,46.98,41.16,45.4,-1.17,98.27,1001.14,198.83,57.7,123.55,27.06,51.03,38.12,41.37,3.49,101.5,1001.19,198.83,59.8,123.01,0
29.34,49.27,37.93,45.22,-1.74,99.3,1002.04,199.65,57.84,123.64,30.76,48.38,36.7,45.57,-1.0,100.02,1000.86,202.29,58.4,118.08,31.9,51.28,38.3,47.26,-0.46,99.54,998.47,197.45,59.31,119.51,29.85,48.71,40.58,49.6,-0.01,102.3,1002.05,201.61,59.08,122.77,29.23,48.0,41.54,44.68,-1.38,100.98,1002.14,196.75,57.92,118.11,25.46,49.71,36.87,44.4,0.79,100.29,999.12,198.18,59.31,119.54,30.02,50.65,41.81,42.97,0.32,95.89,1002.64,195.17,60.05,115.88,30.58,51.91,40.44,42.55,3.64,100.24,997.05,198.79,62.76,122.69,27.03,48.41,41.35,45.08,1.29,100.85,999.34,199.12,61.93,121.38,30.72,47.33,37.0,45.71,1.09,98.35,1000.68,199.78,58.15,123.21,0
28.58,47.62,38.28,46.67,3.03,100.39,997.46,199.85,60.98,119.67,32.12,49.45,41.39,41.19,5.06,98.0,997.05,197.71,58.63,119.71,31.31,50.72,40.12,45.68,0.15,97.31,997.99,200.88,60.08,117.51,31.84,49.52,39.16,44.13,-2.72,100.75,1000.22,200.09,60.47,120.92,29.62,49.88,41.05,45.44,2.07,100.11,1000.65,201.31,62.57,119.29,32.07,49.27,40.1,45.62,-0.22,98.07,1004.16,201.12,60.17,120.59,28.35,51.48,42.11,44.87,-0.47,100.08,998.44,198.78,57.75,117.75,29.78,52.08,40.63,43.06,-1.95,98.19,1003.37,201.43,56.69,118.41,30.23,49.65,44.99,48.02,0.44,99.19,998.71,199.94,63.57,117.52,25.25,46.88,40.7,43.21,-0.6,102.56,1000.74,203.7,63.51,121.2,0
30.5,53.43,40.61,47.14,0.98,101.83,1001.29,202.41,61.43,118.05,27.93,51.54,40.36,44.34,0.81,100.18,998.7,197.25,61.68,117.18,29.82,51.66,39.4,47.27,-0.8,99.17,997.56,202.23,59.5,118.44,28.74,51.08,40.35,46.02,-3.95,98.68,1000.54,199.18,59.22,122.05,29.37,49.03,43.73,43.21,3.53,96.98,997.56,202.66,56.01,123.16,26.65,50.45,40.61,47.45,1.78,98.09,997.58,201.7,58.81,116.34,31.51,52.19,39.66,40.79,3.11,100.21,1005.85,199.18,59.17,119.33,33.65,51.01,36.48,46.35,0.52,99.72,998.37,200.3,59.59,120.41,34.77,51.39,40.42,43.89,2.8,99.53,997.01,198.77,59.03,119.2,30.63,49.48,39.99,47.02,-0.43,99.24,1002.55,200.6,57.09,120.18,0
31.35,49.35,40.56,43.61,-0.27,98.79,1000.93,199.13,59.43,123.2,28.32,52.94,37.72,43.39,2.29,101.75,997.44,197.39,58.96,121.9,29.92,50.33,40.96,43.18,-4.54,98.05,999.55,198.69,58.76,120.04,31.81,47.0,42.8,44.25,0.28,101.43,997.13,197.55,55.75,116.21,30.42,49.16,41.0,42.7,0.22,100.4,998.41,199.86,58.69,120.15,29.79,52.81,37.92,45.88,0.13,101.33,999.97,201.13,59.58,120.71,32.79,50.59,39.65,46.44,0.51,99.06,999.6,197.03,58.12,119.23,28.24,46.92,37.62,41.11,1.14,101.76,1000.7,201.48,57.58,117.33,29.87,48.38,42.66,45.31,1.51,98.5,1000.14,201.82,58.94,122.1,29.47,52.54,37.86,44.83,3.95,102.83,1001.98,197.84,59.65,122.6,0
26.95,49.48,41.86,47.44,2.43,101.27,1000.94,203.78,58.59,118.91,32.52,49.73,40.37,45.6,0.05,102.93,1002.16,202.65,57.59,120.9,32.83,51.16,37.75,45.84,-3.16,104.58,1003.79,201.09,58.96,118.33,30.69,50.58,39.22,49.33,0.45,99.94,997.96,197.47,59.9,125.19,31.23,48.11,37.33,49.5,-1.22,103.07,1000.78,197.82,58.38,118.03,27.78,50.19,42.14,43.75,0.95,104.82,999.05,200.72,58.89,118.63,28.74,48.82,44.76,44.14,0.97,100.17,1000.89,202.93,58.8,118.42,30.04,49.48,38.69,44.76,0.83,99.89,999.36,199.23,63.71,117.01,26.28,48.27,42.91,44.88,2.77,96.13,998.25,199.56,60.73,115.84,31.49,49.83,42.92,43.83,-1.92,100.04,999.37,203.34,58.28,121.1,0
36.28,48.25,42.96,45.48,-0.68,103.64,1000.81,203.71,57.46,124.81,28.83,49.1,43.71,42.26,-1.83,100.27,997.84,202.21,61.75,120.9,29.15,52.49,38.82,46.51,-2.17,101.71,1001.98,197.41,60.28,119.55,30.59,50.16,41.74,43.63,-0.24,98.04,998.6,202.37,61.51,122.12,29.28,47.7,39.64,46.46,1.41,101.81,998.87,202.82,60.66,120.31,28.07,44.29,36.28,40.39,-0.56,97.91,1003.17,201.33,60.44,119.11,30.04,46.87,41.15,42.9,1.16,102.35,1002.07,199.4,58.62,122.13,29.55,49.35,39.96,43.99,1.47,99.04,1000.13,198.82,59.02,120.55,27.85,47.21,39.38,49.27,0.89,99.91,1000.18,203.02,60.81,126.37,26.75,49.68,41.49,43.45,-1.93,98.0,1000.9,199.86,61.24,121.08,0
29.0,51.63,35.79,44.53,-0.32,100.74,1001.48,198.39,59.83,119.51,29.46,49.31,39.32,41.55,3.54,99.26,1003.79,199.09,57.18,120.34,32.24,50.7,41.8,44.99,0.67,101.83,1000.43,199.32,58.88,121.21,32.04,48.17,41.93,42.98,-0.68,97.06,999.68,199.6,57.74,122.56,27.96,52.17,40.25,46.63,0.11,98.08,1001.16,200.48,60.94,120.54,34.06,50.41,38.87,42.2,-0.62,94.04,1001.6,200.65,60.54,116.03,28.2,46.41,42.43,44.11,2.75,102.04,1003.1,200.92,61.38,119.13,31.84,50.5,43.61,46.6,0.44,104.25,1005.22,201.65,58.75,119.79,29.56,47.01,45.16,47.98,-1.75,99.06,1000.89,199.79,55.88,119.34,29.48,51.58,42.65,44.89,-0.01,96.86,998.23,203.14,59.8,119.82,0
28.94,54.55,39.3,44.75,-0.87,100.82,996.89,197.75,62.64,119.7,28.69,52.54,36.71,45.83,0.37,101.69,1000.99,198.28,62.89,119.08,34.98,48.75,37.37,45.52,3.41,101.45,1000.66,202.36,60.44,115.6,28.32,51.66,40.98,43.89,2.13,101.28,997.44,202.06,58.04,121.12,31.53,50.41,40.09,45.2,0.64,102.73,998.19,199.98,59.52,122.14,32.23,50.49,39.02,48.38,-2.36,99.35,1001.24,200.5,60.96,119.09,31.58,51.8,40.07,41.72,-2.76,100.87,996.4,199.96,61.48,122.56,29.66,48.59,39.76,45.84,-0.74,100.57,1002.2,198.97,57.08,123.26,25.36,48.93,40.39,43.39,2.61,98.34,1003.28,200.22,59.41,119.95,29.49,51.08,41.78,41.04,-0.78,97.55,1001.88,200.83,61.58,120.74,0
29.1,51.16,38.85,42.04,1.52,100.56,1001.24,200.68,64.91,117.7,27.4,51.6,42.17,46.46,-2.09,101.36,999.71,199.23,58.71,120.37,31.84,48.25,42.34,44.49,-2.67,99.25,997.55,201.82,60.4,120.43,31.22,50.26,40.44,42.78,0.97,96.97,999.8,200.56,57.2,119.92,27.58,50.82,38.17,46.09,3.06,97.98,1002.93,200.68,60.21,120.84,32.88,49.0,39.64,46.65,1.93,99.57,1000.2,204.05,59.66,117.37,29.57,50.31,41.23,46.67,0.39,101.54,1001.7,200.53,57.92,118.98,29.38,50.87,40.83,46.23,2.95,100.58,996.95,197.8,59.04,120.58,29.64,47.63,40.67,42.27,0.23,103.13,1002.11,200.64,61.9,119.7,35.28,49.68,37.73,44.86,-2.81,100.64,1000.83,200.31,63.21,118.27,0
33.43,51.24,40.08,44.59,-2.72,97.4,998.88,199.48,58.24,121.2,29.25,46.57,41.88,45.52,-0.55,97.92,998.62,199.97,60.63,116.42,30.16,52.37,39.24,45.72,-2.2,99.91,1003.81,198.46,63.28,122.19,32.07,49.03,37.46,42.86,2.45,98.24,1000.73,201.01,61.97,122.0,33.11,50.24,42.26,45.5,-1.98,102.48,999.89,204.09,62.23,116.05,29.21,52.67,38.68,53.82,-0.19,97.99,998.87,201.06,62.66,121.23,31.01,49.66,40.01,43.97,-0.07,98.06,997.07,199.5,56.67,118.76,32.52,53.54,41.41,41.82,-0.19,102.49,1001.58,201.33,58.42,121.69,30.66,48.75,40.85,45.23,0.59,99.71,999.37,197.67,61.42,116.38,31.97,50.01,42.27,42.38,0.5,98.89,1003.63,200.81,60.28,119.19,0
30.97,49.3,39.99,45.54,-0.72,100.21,1002.0,201.3,56.21,121.46,28.87,51.47,41.2,46.71,0.8,104.59,999.52,197.76,56.22,119.12,33.06,50.74,38.86,47.27,-4.33,101.17,998.25,201.4,59.2,117.22,30.35,50.84,41.48,47.81,1.37,101.23,999.1,197.76,62.08,116.33,29.48,52.27,42.04,44.11,1.39,97.61,1000.69,199.21,60.2,121.22,31.66,51.79,38.69,43.7,-0.81,103.55,998.89,201.05,61.32,121.17,26.37,47.42,41.05,45.29,-4.17,97.76,999.88,201.56,61.79,120.09,31.24,51.82,40.52,40.67,0.75,98.58,1002.7,201.19,57.49,120.56,27.28,46.95,40.54,45.59,-0.15,96.78,999.24,199.23,60.04,121.01,27.24,50.02,40.74,45.57,-1.78,99.53,1000.98,197.48,61.22,117.02,0
31.75,50.93,39.57,41.49,0.89,101.09,1002.92,199.45,58.75,121.56,27.72,49.33,39.94,44.76,-1.41,102.13,1000.09,197.78,59.19,121.15,30.48,52.13,39.51,46.77,-3.77,101.6,998.64,202.74,58.14,118.73,31.33,49.86,38.05,46.74,2.38,98.08,999.68,198.94,58.62,121.84,27.88,51.3,41.26,44.69,-0.98,97.68,998.2,199.21,59.02,120.67,29.13,47.7,39.2,45.46,2.55,100.45,1001.88,197.57,63.03,120.77,32.63,48.96,39.18,45.37,3.47,104.58,1000.68,203.39,60.91,120.83,27.75,49.85,40.33,46.22,2.44,101.13,999.87,196.55,57.3,122.13,31.7,50.1,39.75,46.59,-0.67,97.89,1003.3,199.48,61.15,124.97,32.3,49.6,40.59,44.5,1.14,100.23,998.94,196.56,61.74,118.61,0
32.24,52.23,36.84,44.45,2.94,101.76,998.44,197.18,57.88,119.35,30.36,46.69,38.76,46.19,-1.05,100.38,1000.01,199.55,61.39,122.73,29.87,47.39,43.29,44.71,-1.08,95.09,1001.74,199.8,58.86,121.9,29.58,48.83,39.13,46.15,3.79,99.36,1001.24,196.0,59.34,120.04,29.94,47.13,42.3,43.33,-0.77,99.75,997.72,201.93,61.34,120.24,33.17,54.21,37.01,46.69,4.68,101.27,998.82,199.29,61.0,115.24,33.0,47.3,39.58,45.1,2.98,99.49,998.72,198.75,56.16,121.26,31.51,47.34,41.84,42.14,0.08,98.8,1000.52,201.41,55.95,118.33,31.75,50.51,42.81,47.12,-1.22,100.43,1002.08,199.32,62.15,122.97,25.82,52.9,39.68,43.66,3.03,99.8,997.15,201.51,61.3,123.93,0
31.73,49.46,42.63,45.77,0.23,99.33,1001.57,201.13,59.15,120.38,31.15,45.91,40.52,45.71,-2.39,99.93,999.0,199.85,58.84,119.49,32.46,50.11,41.3,45.24,0.59,103.26,999.13,201.23,59.84,122.88,26.11,52.63,43.37,47.3,0.7,100.14,1000.86,198.5,55.96,121.83,27.72,54.73,40.78,45.65,1.58,96.55,999.3,200.84,63.25,120.15,32.12,50.79,41.87,43.21,1.79,101.72,1000.5,198.93,61.26,118.64,28.42,53.87,36.06,44.59,-0.05,101.07,1001.59,199.72,61.04,118.34,30.22,48.98,41.9,43.01,-3.58,103.09,999.54,203.73,57.72,122.8,32.77,50.05,38.3,44.98,3.63,97.22,998.21,197.64,61.15,120.93,30.8,50.19,39.02,46.13,-0.17,103.34,999.97,202.39,61.17,116.42,0
30.52,51.65,34.03,45.39,1.53,100.09,997.36,198.42,58.55,123.33,26.75,48.61,38.7,45.91,-2.67,95.65,1006.08,202.27,58.24,120.82,31.27,50.29,35.84,41.34,-1.41,101.07,1002.11,203.05,61.94,122.32,27.28,48.59,37.43,43.9,-2.17,100.21,1001.11,199.54,61.88,116.94,29.96,51.98,37.63,50.08,-1.59,96.25,1000.18,202.8,59.51,121.7,31.18,48.07,38.46,47.48,-0.65,98.92,1001.18,197.34,62.13,117.91,28.98,50.33,38.25,46.18,2.07,97.43,1001.15,199.01,61.15,119.01,33.76,46.34,41.42,43.39,0.03,99.43,1001.2,199.92,58.77,119.71,29.86,49.37,40.89,47.41,-2.83,98.54,1002.01,198.03,60.79,119.44,29.57,51.67,37.37,45.55,0.09,98.86,1001.31,200.49,62.42,118.49,0
29.37,49.23,40.86,48.26,-3.04,101.5,998.85,198.31,60.98,117.19,29.48,51.41,42.48,46.18,0.96,101.31,1002.41,199.74,60.85,122.67,30.94,51.02,41.86,47.26,-2.04,96.2,1000.72,202.09,61.56,121.94,28.42,52.52,38.51,45.06,0.19,103.05,1003.29,203.09,59.4,118.59,25.83,47.33,39.15,45.57,-0.45,97.33,999.31,200.51,63.14,118.55,28.42,55.32,38.59,45.34,-0.94,100.8,1000.58,198.3,58.7,119.52,27.2,49.48,39.51,45.25,4.62,96.82,998.21,200.92,57.21,119.67,32.82,49.17,37.74,43.4,0.73,101.74,997.19,200.23,58.82,119.66,29.06,49.14,37.26,43.4,-1.17,97.12,1000.86,196.79,58.66,120.37,30.97,49.19,38.21,49.4,2.5,100.27,995.32,196.5,59.54,119.82,0
31.9,51.94,42.74,44.88,3.91,104.77,1001.23,200.78,60.09,125.2,29.73,50.3,38.59,42.9,3.49,99.3,995.03,199.76,61.11,122.03,31.8,51.39,44.46,46.61,-0.01,97.42,994.68,196.66,62.86,117.98,29.77,52.55,36.62,47.11,-1.61,99.24,998.27,200.04,56.8,117.06,29.67,51.52,44.11,43.54,1.85,97.89,998.34,198.26,63.88,118.74,26.58,52.02,40.01,46.05,5.31,98.69,1000.29,199.54,60.78,117.65,31.48,47.47,41.34,46.88,2.53,101.71,997.93,201.54,62.75,118.65,29.82,46.2,40.37,47.37,-0.06,100.31,1000.63,201.93,63.67,121.08,29.71,49.46,40.4,47.54,-2.43,103.38,1005.1,198.64,61.25,118.24,28.87,51.66,40.25,43.52,-1.19,98.25,1000.36,199.41,61.23,121.16,0
29.54,50.7,37.95,47.58,-0.19,100.55,1000.19,202.07,61.57,118.59,31.88,50.29,39.72,46.96,-1.78,102.92,1001.76,197.46,63.59,125.13,31.62,50.2,42.53,42.64,3.11,99.08,999.61,201.27,58.14,118.94,26.3,48.4,35.76,45.44,2.75,103.61,1000.8,197.4,59.1,119.59,30.33,49.94,42.26,46.76,-0.62,99.09,1000.32,197.97,62.7,123.29,28.69,51.6,40.89,44.03,-0.6,98.45,1000.03,202.01,59.3,126.79,34.54,45.73,37.58,45.52,-0.63,101.18,999.1,201.25,60.91,119.78,30.8,48.72,38.29,47.53,-2.71,99.14,998.1,197.1,58.73,120.04,26.65,52.22,39.8,41.03,0.11,102.03,1002.6,198.25,58.82,118.67,30.48,50.6,39.83,44.73,1.44,103.5,998.64,194.09,59.75,118.23,0
29.38,48.67,37.9,47.86,3.29,98.42,998.81,198.47,61.82,119.5,31.26,51.71,36.07,46.07,-0.16,102.37,995.73,200.2,60.26,123.51,27.48,46.78,40.45,46.64,-0.48,100.93,999.84,199.6,60.51,120.19,30.2,48.44,39.44,43.85,1.11,99.1,998.88,199.97,63.91,120.98,29.81,48.08,44.7,43.5,-5.0,97.13,999.36,197.85,59.53,117.57,29.04,48.37,38.47,46.82,-1.06,99.09,1000.03,200.85,60.83,116.55,30.39,49.46,42.69,42.94,3.12,103.86,1002.05,200.92,60.87,121.39,29.93,53.63,40.87,43.35,-0.32,99.66,999.22,199.89,57.48,120.41,29.74,49.24,42.05,43.95,0.2,98.16,1000.97,198.76,61.69,120.32,28.68,47.61,37.0,43.88,-3.63,101.45,1001.17,201.44,61.28,116.13,0
28.81,48.85,42.18,48.11,1.41,100.33,998.37,198.85,62.46,114.99,31.36,50.85,41.94,44.94,1.62,98.33,998.69,200.63,61.38,121.42,29.8,45.97,39.61,48.94,-0.51,98.9,997.44,199.15,56.44,118.69,32.2,48.31,40.39,44.47,3.59,98.75,1003.47,202.09,61.17,117.66,29.19,48.06,38.33,42.67,1.17,98.19,997.68,203.06,56.81,122.18,28.2,48.78,41.33,45.32,-0.17,99.6,998.53,198.89,60.86,121.24,26.06,51.36,36.82,46.07,4.15,102.58,1000.55,201.51,60.32,117.74,30.51,46.99,42.94,43.53,-2.69,101.17,997.75,199.41,60.94,121.11,32.45,51.8,38.27,45.2,-0.69,98.79,1002.41,199.13,63.3,121.23,27.19,49.74,44.06,45.62,-2.15,97.86,1002.21,195.61,59.91,117.18,0
30.18,46.49,42.38,42.98,-0.69,99.53,1002.39,202.9,61.58,121.64,31.78,50.67,40.76,44.47,0.24,98.94,1000.2,200.5,64.45,120.07,30.0,54.06,41.37,44.36,0.6,96.46,1001.83,199.87,61.04,119.2,26.35,48.27,36.01,42.05,2.83,102.48,1000.01,197.42,58.39,122.2,31.13,46.91,40.9,40.91,0.26,100.08,999.7,201.76,58.58,121.79,30.64,48.21,41.06,44.44,-3.54,100.61,999.4,198.71,60.15,117.01,29.82,50.93,39.08,43.61,2.14,97.95,998.14,203.53,60.3,121.93,31.45,51.54,41.59,47.09,-1.53,99.47,999.1,198.4,59.1,118.11,28.96,51.25,39.57,42.86,-2.4,99.8,1001.57,201.27,62.15,122.66,28.22,49.01,38.87,45.74,1.61,99.71,1001.69,197.61,60.62,117.18,0
30.41,50.21,41.97,41.51,-0.47,99.05,1002.12,194.59,60.18,118.82,27.9,48.42,39.35,46.84,-0.69,100.5,1000.25,198.3,59.68,119.71,26.95,49.42,40.3,42.87,0.56,101.74,1000.63,197.67,57.88,117.79,26.36,50.62,41.38,46.19,-0.01,102.21,997.17,204.31,59.42,121.5,27.65,48.73,39.82,45.75,-3.21,99.77,1003.09,200.02,59.23,119.32,30.79,48.62,39.62,44.55,-3.48,98.13,1001.14,197.01,59.09,121.09,30.96,49.34,41.92,45.76,2.94,103.31,999.18,198.39,59.4,118.54,31.07,48.96,37.36,42.86,-0.18,101.18,997.61,199.59,62.54,120.42,32.64,47.06,41.9,43.99,-1.03,101.1,1000.86,201.94,60.81,121.07,28.69,49.56,41.45,44.38,-2.42,101.47,997.94,200.4,56.45,120.33,0
30.75,49.84,40.93,43.84,2.03,96.9,1001.83,199.48,58.31,120.33,31.91,52.12,36.94,41.62,-1.79,100.57,1003.02,199.39,59.16,119.58,30.06,52.67,33.62,46.46,-2.43,101.84,998.85,201.33,61.9,119.81,32.12,51.21,37.15,41.55,-0.35,97.36,995.77,198.88,59.65,118.7,29.71,53.09,41.04,42.25,0.26,102.96,995.76,199.07,58.31,119.25,28.9,54.46,41.84,44.77,-0.21,96.32,999.75,201.12,61.46,122.1,30.77,49.21,40.49,46.17,-0.41,100.77,1000.43,203.68,56.74,121.45,33.06,52.0,40.17,43.71,0.6,97.55,999.87,201.77,63.09,121.66,30.0,50.65,40.21,45.82,-0.27,99.46,1001.14,198.15,61.22,117.93,30.47,51.69,40.81,43.48,1.77,100.02,996.86,202.51,61.27,118.41,0
32.56,50.88,39.08,45.75,2.48,101.59,996.89,202.94,63.78,121.55,31.69,50.29,41.44,44.51,-1.37,103.05,1002.14,203.54,63.87,122.77,31.96,47.83,36.28,47.46,-1.29,98.57,1000.6,200.2,58.81,121.27,27.38,49.61,43.5,45.6,-1.8,99.48,997.85,201.95,61.46,123.76,28.1,48.49,38.06,44.05,0.15,99.37,1000.05,201.44,61.44,119.38,28.55,51.7,37.88,45.81,3.26,97.21,999.48,201.11,58.41,118.09,29.43,49.59,40.48,44.77,2.15,98.27,1000.37,200.7,60.03,121.72,31.15,50.48,38.05,42.51,1.53,97.35,997.28,197.49,59.61,118.35,30.22,48.14,41.95,42.58,-2.73,103.09,997.73,199.12,61.09,120.31,31.61,48.81,40.16,47.15,0.52,101.0,1002.28,198.78,59.19,121.27,0
32.56,52.6,41.37,47.6,0.49,100.58,998.58,201.07,62.3,120.55,31.59,48.31,36.58,44.19,-1.94,101.64,998.6,198.48,59.78,120.77,30.34,52.09,41.29,44.29,0.77,98.62,1004.03,199.53,59.96,118.31,28.18,48.73,40.18,48.8,0.15,99.96,1000.63,195.39,58.59,120.74,31.02,50.17,42.82,45.41,-2.26,101.49,999.35,203.35,61.31,119.82,29.99,46.12,41.93,43.68,-0.9,97.38,999.08,201.73,61.96,122.03,31.51,51.5,38.12,47.36,-0.6,101.12,1000.46,196.11,57.48,119.56,28.4,49.81,37.99,47.42,3.07,102.19,1002.78,201.47,62.02,122.4,29.3,48.65,42.48,44.13,0.57,105.67,999.7,201.76,57.34,119.55,32.15,47.41,38.07,44.47,1.34,100.76,996.76,204.36,62.6,122.14,0
30.27,53.49,42.02,48.15,-0.81,97.15,998.31,202.46,60.06,118.1,28.66,45.38,42.8,47.35,-1.63,99.83,1000.45,200.63,60.88,122.04,29.41,49.41,39.11,43.9,0.2,100.71,999.55,200.86,61.83,123.84,27.87,50.11,39.62,40.43,-2.66,102.26,1001.71,196.25,61.12,120.83,29.28,50.12,39.73,42.19,1.0,102.17,999.93,198.52,58.56,121.28,29.09,52.08,41.4,47.48,-0.07,98.48,1001.89,198.36,59.63,116.4,25.07,52.86,38.41,42.87,3.13,101.32,999.63,202.28,60.78,124.95,25.34,50.06,41.04,47.71,-1.73,99.67,1001.79,199.59,58.35,120.34,27.42,50.36,41.75,43.25,-1.96,100.54,996.48,196.31,58.65,121.99,29.83,52.44,40.5,46.97,1.71,101.53,1000.29,198.42,56.9,119.65,0
